n,g,true_closed_form,marginal,ratio_closed_form,ratio_theory,ratio_enumerated,enum_feasible
1,0.16308000000000006,0.16308000000000006,0.16308000000000006,1.0,1.0,1.0,True
2,0.16308000000000006,0.09483754320000004,0.08154000000000003,1.1630800000000001,1.16308,1.1630800000000003,True
3,0.16308000000000006,0.07209005760000003,0.05436000000000002,1.3261600000000002,1.32616,1.3261599999999996,True
4,0.16308000000000006,0.06071631480000003,0.040770000000000015,1.4892400000000003,1.4892400000000001,1.4892400000000003,True
5,0.16308000000000006,0.053892069120000025,0.03261600000000001,1.65232,1.6523200000000002,1.6523199999999998,True
6,0.16308000000000006,0.04934257200000003,0.02718000000000001,1.8154000000000003,1.8154000000000003,1.815400000000001,True
7,0.16308000000000006,0.04609293120000002,0.023297142857142867,1.97848,1.9784800000000002,1.9784799999999994,True
8,0.16308000000000006,0.04365570060000003,0.020385000000000007,2.1415600000000006,2.14156,2.1415599999999997,True
9,0.16308000000000006,0.041760076800000025,0.018120000000000008,2.3046400000000005,2.3046400000000005,2.30464,True
10,0.16308000000000006,0.040243577760000024,0.016308000000000007,2.4677200000000004,2.467720000000001,2.467719999999999,True
11,0.16308000000000006,0.039002805818181836,0.014825454545454551,2.6308000000000002,2.6308000000000007,2.6308000000000002,True
12,0.16308000000000006,0.037968829200000026,0.013590000000000005,2.793880000000001,2.7938800000000006,2.7938800000000006,True
13,0.16308000000000006,0.037093925907692324,0.012544615384615388,2.9569600000000005,2.9569600000000005,2.956959999999999,True
14,0.16308000000000006,0.03634400880000002,0.011648571428571433,3.1200400000000004,3.1200400000000004,3.12004,True
15,0.16308000000000006,0.03569408064000003,0.010872000000000003,3.2831200000000016,3.283120000000001,,False
16,0.16308000000000006,0.03512539350000002,0.010192500000000004,3.4462000000000006,3.446200000000001,,False
part_a_n2,0.16308000000000006,0.044094385800000135,0.040770000000000015,1.0815400000000028,1.16308,,True
