game,true_loss,adavote,naive_marginal,unweighted,worst_prefix,plugin_alpha,no_logging,viol_adavote,viol_naive_marginal,viol_unweighted,viol_worst_prefix,viol_plugin_alpha,viol_no_logging
0,0.4172611498569957,0.42449523844457376,0.43124139570524267,0.2899282516663459,0.5117483786253483,0.5880505101750119,0.899918900060621,0,0,1,0,0,0
1,0.43291240163183703,0.44184849263960646,0.4759368368339505,0.2600573068025687,0.535734738410115,0.45988881052992714,0.8931403495613759,0,0,1,0,0,0
2,0.44062760244083066,0.45242561312790264,0.4743399012115459,0.25647233723336166,0.5432587943841223,0.42382100177016957,0.9295909533425958,0,0,1,0,1,0
3,0.38128858339093374,0.38891548241684676,0.4085255327132271,0.26452931098910903,0.4659499238583491,0.40206246631833303,0.8056245052413682,0,0,1,0,0,0
4,0.47592860151223165,0.48276232140944425,0.5309537699968704,0.3178573057450064,0.6038172302210164,0.41521904188506037,1.0190310777678568,0,0,1,0,1,0
5,0.4602176490309312,0.4653018266204019,0.48939483752357366,0.2480695721510963,0.5638756841479777,0.5318227561782838,0.9444671475269887,0,0,1,0,0,0
6,0.3809174936643268,0.3920572228544363,0.40076726135260343,0.2509339036382518,0.4593029963365712,0.4163344636121008,0.8253336238759099,0,0,1,0,0,0
7,0.3955072135483237,0.40322234169065957,0.4162459684261936,0.25050991088654756,0.5124752046806732,0.5070964870679459,0.8199412195681547,0,0,1,0,0,0
8,0.52538486864524,0.5387012505363666,0.5818298654646127,0.28223422267866427,0.5808490805055173,0.568360626092156,1.1231601421431097,0,0,1,0,0,0
9,0.4834207177554086,0.4972521447349227,0.5312864961579776,0.29902557022683013,0.5864909399331827,0.568794052532304,0.9704813378841689,0,0,1,0,0,0
10,0.4466457843634416,0.45266299126596676,0.4811302981983576,0.2859813641301682,0.5357080633764827,0.41083366416565487,0.9088514586349798,0,0,1,0,1,0
11,0.3252335245294526,0.334346943078614,0.34464009134031115,0.2789351949904791,0.5097204727757475,0.4177078494296156,0.7354740676367045,0,0,1,0,0,0
12,0.5869499410443407,0.5990956177595811,0.6531987206322866,0.3059939615510602,0.6775269341757733,0.8040563044800112,1.1423836966553513,0,0,1,0,0,0
13,0.524674323380555,0.5296963577566899,0.6086699130119931,0.30271203690479526,0.6513027587523562,0.5295794487400686,1.1055428522758792,0,0,1,0,0,0
14,0.4166719643284474,0.4246621490942028,0.4395667433581125,0.25881303219257684,0.49553825307704213,0.5727402591221463,0.8393371220679978,0,0,1,0,0,0
15,0.4930621732510747,0.4992737880762284,0.543044737043793,0.2607574413575697,0.5924429482632406,0.5854481095307554,0.8789617472342536,0,0,1,0,0,0
16,0.4027459861766434,0.40892258838414247,0.41686471923919105,0.25489786236582007,0.49477260637318893,0.47187278813954214,0.8273437209092058,0,0,1,0,0,0
17,0.4743307332902702,0.49257579040261207,0.5122438274211427,0.26319230090137846,0.5467540103167133,0.5114572032202932,0.955974805096035,0,0,1,0,0,0
18,0.4061045933133514,0.4165504053566251,0.4301081184596101,0.24152771852179722,0.4560591452981103,0.44256271937963554,0.8275138144698138,0,0,1,0,0,0
19,0.34536857579276226,0.35160273539510706,0.3598931561886563,0.2950791153663997,0.4930342073312756,0.38658023825417664,0.7259662100292626,0,0,1,0,0,0
20,0.5196848934741898,0.5331970462577362,0.5562116786219454,0.3225355012262624,0.5910007965618752,0.6519760414436804,1.009393977229124,0,0,1,0,0,0
21,0.5676414342257297,0.5743779545333259,0.625667254462956,0.3231884839191286,0.6484929172844691,0.6175038029287274,1.1358023236459858,0,0,1,0,0,0
22,0.3766711069554525,0.38424751416576375,0.38891269827042013,0.231581724837272,0.4448076773260056,0.4353922479332642,0.7434038383442058,0,0,1,0,0,0
23,0.4805555353993903,0.49226777237670244,0.5109801241957524,0.2977219479347231,0.575734962609284,0.5194647904939143,1.0272430660183565,0,0,1,0,0,0
24,0.3696493707563312,0.37747017806551886,0.3806680695985597,0.25006818168602246,0.4254113636080275,0.3177219698734616,0.7394965468801962,0,0,1,0,1,0
