witness,seed,S,A,H,N,occupancy_max_err,cert_err,description,closed_form,ctilde_computed,cstar_computed,true_loss,err_Ctilde_eq_Cstar,ctilde_ge_true,c0,err_C0_eq_Cstar,gap_Ctilde_minus_true,total_ts_checked,collapsed_count,non_collapsed,max_prefix_action_dist_diff
occupancy_realizability,0,4,3,4,5,5.551115123125783e-17,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,1,4,3,4,5,2.220446049250313e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,2,4,3,4,5,5.551115123125783e-17,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,3,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,4,4,3,4,5,5.551115123125783e-17,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,5,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,6,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,7,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,8,4,3,4,5,5.551115123125783e-17,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,9,4,3,4,5,2.220446049250313e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,10,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,11,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,12,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,13,4,3,4,5,5.551115123125783e-17,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,14,4,3,4,5,2.220446049250313e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,15,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,16,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,17,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,18,4,3,4,5,1.1102230246251565e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
occupancy_realizability,19,4,3,4,5,2.220446049250313e-16,0.0,d_ctrl matches analytic d from target_d,,,,,,,,,,,,,
Cstar_eq_Ctilde,0,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.771108638265168,0.771108638265168,0.771108638265168,0.7429344157387686,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,1,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.7055660202599865,0.7055660202599865,0.7055660202599865,0.6953352482572156,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,2,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.7623114623488736,0.7623114623488736,0.7623114623488736,0.7503057397218125,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,3,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.5522113380954277,0.5522113380954277,0.5522113380954277,0.5408962392770128,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,4,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.6764135255627309,0.6764135255627309,0.6764135255627309,0.6720279888633902,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,5,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.7815047152666093,0.7815047152666093,0.7815047152666093,0.7676099358171726,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,6,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.8212349525890346,0.8212349525890346,0.8212349525890346,0.8134191301270238,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,7,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.6549452390916194,0.6549452390916194,0.6549452390916194,0.6462332328659618,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,8,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.8888065806691806,0.8888065806691806,0.8888065806691806,0.8695436996082181,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,9,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.9026530522733375,0.9026530522733375,0.9026530522733375,0.8942204106966553,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,10,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.6385404813588748,0.6385404813588748,0.6385404813588748,0.6279917365425749,0.0,1.0,,,,,,,
