alpha,N,g,expected_direction,actual_direction,iff_ok
0.05,1,0.95,increasing,increasing,1
0.05,3,0.99275,increasing,increasing,1
0.05,5,0.998841875,increasing,increasing,1
0.05,7,0.999806421875,increasing,increasing,1
0.05,9,0.9999667777929687,increasing,increasing,1
0.05,11,0.9999941986549414,increasing,increasing,1
0.05,13,0.9999989744550684,increasing,increasing,1
0.05,15,0.9999998170426622,increasing,increasing,1
0.05,17,0.9999999671285773,increasing,increasing,1
0.05,19,0.999999994060661,increasing,increasing,1
0.05,21,0.9999999989219021,increasing,increasing,1
0.075,1,0.925,increasing,increasing,1
0.075,3,0.98396875,increasing,increasing,1
0.075,5,0.99624162109375,increasing,increasing,1
0.075,7,0.9990797225341796,increasing,increasing,1
0.075,9,0.999768849040184,increasing,increasing,1
0.075,11,0.9999409583850586,increasing,increasing,1
0.075,13,0.9999847386996611,increasing,increasing,1
0.075,15,0.9999960199485846,increasing,increasing,1
0.075,17,0.9999989548359998,increasing,increasing,1
0.075,19,0.9999997240210765,increasing,increasing,1
0.075,21,0.9999999267974924,increasing,increasing,1
0.1,1,0.9,increasing,increasing,1
0.1,3,0.972,increasing,increasing,1
0.1,5,0.99144,increasing,increasing,1
0.1,7,0.997272,increasing,increasing,1
0.1,9,0.99910908,increasing,increasing,1
0.1,11,0.99970429392,increasing,increasing,1
0.1,13,0.9999007145136,increasing,increasing,1
0.1,15,0.999966375112032,increasing,increasing,1
0.1,17,0.9999885355640028,increasing,increasing,1
0.1,19,0.9999960701176729,increasing,increasing,1
0.1,21,0.999998646935028,increasing,increasing,1
0.125,1,0.875,increasing,increasing,1
0.125,3,0.95703125,increasing,increasing,1
0.125,5,0.98394775390625,increasing,increasing,1
0.125,7,0.9937610626220703,increasing,increasing,1
0.125,9,0.9975177198648453,increasing,increasing,1
0.125,11,0.9989969036541879,increasing,increasing,1
0.125,13,0.9995901179863722,increasing,increasing,1
0.125,15,0.9998311113088221,increasing,increasing,1
0.125,17,0.9999299562262332,increasing,increasing,1
0.125,19,0.999970798396969,increasing,increasing,1
0.125,21,0.9999877734241811,increasing,increasing,1
0.15,1,0.85,increasing,increasing,1
0.15,3,0.93925,increasing,increasing,1
0.15,5,0.973388125,increasing,increasing,1
0.15,7,0.987896828125,increasing,increasing,1
0.15,9,0.9943713368945313,increasing,increasing,1
0.15,11,0.9973431364197461,increasing,increasing,1
0.15,13,0.998732452697784,increasing,increasing,1
0.15,15,0.999390393192312,increasing,increasing,1
0.15,17,0.9997049709912582,increasing,increasing,1
0.15,19,0.9998564926310839,increasing,increasing,1
0.15,21,0.9999299048655795,increasing,increasing,1
0.175,1,0.825,increasing,increasing,1
0.175,3,0.9188437500000001,increasing,increasing,1
0.175,5,0.95948982421875,increasing,increasing,1
0.175,7,0.9790507474365234,increasing,increasing,1
0.175,9,0.9889351264500046,increasing,increasing,1
0.175,11,0.9940725324422615,increasing,increasing,1
0.175,13,0.9967921467394124,increasing,increasing,1
0.175,15,0.9982505399062596,increasing,increasing,1
0.175,17,0.9990401230817479,increasing,increasing,1
0.175,19,0.9994707749053788,increasing,increasing,1
0.175,21,0.9997070412621184,increasing,increasing,1
0.2,1,0.8,increasing,increasing,1
0.2,3,0.8959999999999999,increasing,increasing,1
0.2,5,0.94208,increasing,increasing,1
0.2,7,0.966656,increasing,increasing,1
0.2,9,0.9804185599999999,increasing,increasing,1
0.2,11,0.98834579456,increasing,increasing,1
0.2,13,0.9929964388352,increasing,increasing,1
0.2,15,0.995760250290176,increasing,increasing,1
0.2,17,0.9974185371631616,increasing,increasing,1
0.2,19,0.9984208794508329,increasing,increasing,1
0.2,21,0.999030303561737,increasing,increasing,1
0.22499999999999998,1,0.775,increasing,increasing,1
0.22499999999999998,3,0.87090625,increasing,increasing,1
0.22499999999999998,5,0.9210772070312501,increasing,increasing,1
0.22499999999999998,7,0.950239075805664,increasing,increasing,1
0.22499999999999998,9,0.9680369288420486,increasing,increasing,1
0.22499999999999998,11,0.9792095310856391,increasing,increasing,1
0.22499999999999998,13,0.9863530136451347,increasing,increasing,1
0.22499999999999998,15,0.9909796942242938,increasing,increasing,1
0.22499999999999998,17,0.9940051095717595,increasing,increasing,1
0.22499999999999998,19,0.9959981019319025,increasing,increasing,1
0.22499999999999998,21,0.9973187084945423,increasing,increasing,1
0.25,1,0.75,increasing,increasing,1
0.25,3,0.84375,increasing,increasing,1
0.25,5,0.896484375,increasing,increasing,1
0.25,7,0.929443359375,increasing,increasing,1
0.25,9,0.9510726928710938,increasing,increasing,1
0.25,11,0.965672492980957,increasing,increasing,1
0.25,13,0.975709855556488,increasing,increasing,1
0.25,15,0.9827001616358757,increasing,increasing,1
0.25,17,0.9876152205979452,increasing,increasing,1
0.25,19,0.9910967206960777,increasing,increasing,1
0.25,21,0.9935772895159971,increasing,increasing,1
0.27499999999999997,1,0.7250000000000001,increasing,increasing,1
0.27499999999999997,3,0.81471875,increasing,increasing,1
0.27499999999999997,5,0.86838177734375,increasing,increasing,1
0.27499999999999997,7,0.9040453309326172,increasing,increasing,1
0.27499999999999997,9,0.9289318044213486,increasing,increasing,1
0.27499999999999997,11,0.9467940707678856,increasing,increasing,1
0.27499999999999997,13,0.9598521317283019,increasing,increasing,1
