N,p_star,p_star_exact,below_increasing,flat_at_threshold,above_decreasing,mc_err
3,0.6666666666666666,2/3,1,1,1,0.000943055555555572
5,0.6,3/5,1,1,1,0.0006037499999999862
7,0.5714285714285714,4/7,1,1,1,0.0007249886965146612
9,0.5555555555555556,5/9,1,1,1,0.0002674753842944466
11,0.5454545454545454,6/11,1,1,1,0.0009861905761682777
13,0.5384615384615384,7/13,1,1,1,0.00022922565217353696
15,0.5333333333333333,8/15,1,1,1,0.00010090409503249465
17,0.5294117647058824,9/17,1,1,1,3.139026497267494e-05
19,0.5263157894736842,10/19,1,1,1,0.000543836598766223
21,0.5238095238095238,11/21,1,1,1,0.001571960763351754
