s,N,alpha,kappa,g_oracle,mean_g_naive,median_g_naive,under_coverage_rate
500,5,0.7,20.0,0.18577075098814233,0.16312976347496153,0.16308000000000006,0.9525
300,5,0.7,20.0,0.18577075098814233,0.16406810015681805,0.16484847381809936,0.885
200,5,0.7,20.0,0.18577075098814233,0.1624808237796788,0.16175952259399407,0.8725
150,5,0.7,20.0,0.18577075098814233,0.16487333083317351,0.16484847381809936,0.81
100,5,0.7,20.0,0.18577075098814233,0.1670581851186349,0.16573605910419195,0.735
75,5,0.7,20.0,0.18577075098814233,0.1662412934972788,0.16484847381809936,0.725
50,5,0.7,20.0,0.18577075098814233,0.16662781766367238,0.16308000000000006,0.7225
30,5,0.7,20.0,0.18577075098814233,0.17068032773846917,0.17201121785679008,0.64
20,5,0.7,20.0,0.18577075098814233,0.17156467128450004,0.16308000000000006,0.58
10,5,0.7,20.0,0.18577075098814233,0.17498330630400005,0.16308000000000006,0.565
5,5,0.7,20.0,0.18577075098814233,0.191903518464,0.13764782080000001,0.505
2,5,0.7,20.0,0.18577075098814233,0.2043553,0.16308000000000006,0.6625
