s,game,true_loss_mixture,Ctilde_mixture,Ctilde_plugin,mixture_covered,plugin_covered,g_mixture_mean,g_plugin_mean
500,0,0.25181950628863975,0.2554195637851071,0.2533189915075376,1,1,0.13243483347951227,0.13162072055923202
500,1,0.38025059459696314,0.38411335363265653,0.38241086059457885,1,1,0.15483200281910744,0.15401910684686393
500,2,0.30535233265065365,0.30906778866371093,0.3072566566992839,1,1,0.16229053508977254,0.1614750895418741
500,3,0.36591272987688256,0.36900215472787745,0.36709941702578985,1,1,0.15375899748127322,0.1529252828700654
500,4,0.4011462380791353,0.41109098215351375,0.4092110130893096,1,1,0.15921225365250347,0.15838263799892074
500,5,0.4407493539578627,0.45355199498834387,0.45175672658204763,1,1,0.16064616516678687,0.15978480611108759
500,6,0.4372269947836205,0.4472256014689343,0.4451936430386275,1,1,0.16665359326862156,0.16586343701265985
500,7,0.22720621460427423,0.2323081656699597,0.23071790977083367,1,1,0.15440183722507342,0.1535837313331208
300,0,0.2531671360705598,0.25680752140361346,0.2533189915075376,1,1,0.13297283168058505,0.13162072055923202
300,1,0.38134094627133064,0.3852372347185618,0.38241086059457885,1,1,0.15536895151944824,0.15401910684686393
300,2,0.3065187988078511,0.31026415083065373,0.3072566566992839,1,1,0.16282912162765517,0.1614750895418741
300,3,0.367135335072904,0.37025806710576104,0.36709941702578985,1,0,0.15430962407758714,0.1529252828700654
300,4,0.4023156203944803,0.412331555858982,0.4092110130893096,1,1,0.15976010654538417,0.15838263799892074
300,5,0.4418687861451661,0.4547365441364904,0.45175672658204763,1,1,0.16121485503526073,0.15978480611108759
300,6,0.4385106936767044,0.44856680795943654,0.4451936430386275,1,1,0.16717552929641633,0.16586343701265985
300,7,0.22822364717279323,0.23335894944207294,0.23071790977083367,1,1,0.15494221918995177,0.1535837313331208
200,0,0.2548379575101453,0.2585286495798722,0.2533189915075376,1,0,0.13364005347198188,0.13162072055923202
200,1,0.3826917261262094,0.3866297564855888,0.38241086059457885,1,0,0.15603460350791393,0.15401910684686393
200,2,0.30796467609707945,0.31174731216632534,0.3072566566992839,1,0,0.16349675343289127,0.1614750895418741
200,3,0.36864978372182206,0.37181400527967234,0.36709941702578985,1,0,0.15499215194620525,0.1529252828700654
200,4,0.40376369188280586,0.41386815423007156,0.4092110130893096,1,1,0.16043912346586037,0.15838263799892074
200,5,0.44325491809567213,0.456203604785128,0.45175672658204763,1,1,0.16191956039158595,0.15978480611108759
200,6,0.44010071874361095,0.45022841679351433,0.4451936430386275,1,1,0.16782257867270833,0.16586343701265985
200,7,0.22948522229432627,0.2346619861903764,0.23071790977083367,1,1,0.15561211852998513,0.1535837313331208
150,0,0.25649370496484725,0.26023458552895684,0.2533189915075376,1,0,0.13430147531540348,0.13162072055923202
150,1,0.38402917266522535,0.3880087558255184,0.38241086059457885,1,0,0.15669417901135263,0.15401910684686393
150,2,0.309397147698296,0.3132169700481085,0.3072566566992839,1,0,0.16415823591419784,0.1614750895418741
150,3,0.3701490949653444,0.37335464402941115,0.36709941702578985,1,0,0.15566836212432023,0.1529252828700654
150,4,0.4051968042234733,0.41538928114062623,0.4092110130893096,1,1,0.16111177638019897,0.15838263799892074
150,5,0.4446266376969972,0.4576557367137095,0.45175672658204763,1,1,0.1626175124325911,0.15978480611108759
150,6,0.44167473996177914,0.45187368695971364,0.4451936430386275,1,1,0.16846373058564662,0.16586343701265985
150,7,0.2307355664227052,0.23595353995135707,0.23071790977083367,1,0,0.1562758930390707,0.1535837313331208
100,0,0.2597606780980766,0.2636015657432378,0.2533189915075376,1,0,0.13560718190648524,0.13162072055923202
100,1,0.38666480977322726,0.3907269298282338,0.38241086059457885,1,0,0.15799540454271496,0.15401910684686393
100,2,0.31222253072968154,0.31611642319581407,0.3072566566992839,1,0,0.16546306568693223,0.1614750895418741
100,3,0.3731031627123571,0.3763908747267018,0.36709941702578985,1,0,0.1570021536640969,0.1529252828700654
100,4,0.40801904877896095,0.41838602437992534,0.4092110130893096,1,1,0.16243832414394996,0.15838263799892074
100,5,0.4473277092792361,0.4605160970678056,0.45175672658204763,1,1,0.1639935245793807,0.15978480611108759
100,6,0.4447756792186918,0.45511611726813556,0.4451936430386275,1,1,0.16972863617828732,0.16586343701265985
100,7,0.2332030678304398,0.238502707668691,0.23071790977083367,1,0,0.15758537486424637,0.1535837313331208
75,0,0.2629694344851582,0.2669098123192693,0.2533189915075376,1,0,0.1368904688020366,0.13162072055923202
75,1,0.38924931172132193,0.3933932086622633,0.38241086059457885,1,0,0.15927322430411148,0.15401910684686393
75,2,0.31499623882207173,0.3189637838745697,0.3072566566992839,1,0,0.16674422401920994,0.1614750895418741
75,3,0.3759992137419616,0.3793684235861957,0.36709941702578985,1,0,0.1583116340470208,0.1529252828700654
75,4,0.4107841033807365,0.42132354866774474,0.4092110130893096,1,0,0.16374040366275738,0.15838263799892074
75,5,0.44997369582015445,0.46331934665461416,0.45175672658204763,1,1,0.16534361102041692,0.15978480611108759
75,6,0.4478152865460176,0.4582958702072537,0.4451936430386275,1,0,0.17097082306377276,0.16586343701265985
75,7,0.23562714965546838,0.24100745738927112,0.23071790977083367,1,0,0.1588712673014453,0.1535837313331208
50,0,0.2692176440166494,0.27335534877257434,0.2533189915075376,1,0,0.13939178866659627,0.13162072055923202
50,1,0.3942704668601665,0.39857563290960135,0.38241086059457885,1,0,0.16176094003781222,0.15401910684686393
50,2,0.3203936147817915,0.3245071505074849,0.3072566566992839,1,0,0.16923788201708784,0.1614750895418741
50,3,0.38162366389927016,0.3851538371360371,0.36709941702578985,1,0,0.16086010103096343,0.1529252828700654
50,4,0.41614929418462704,0.42702765272164134,0.4092110130893096,1,0,0.16627366470485375,0.15838263799892074
50,5,0.4551068581314025,0.46876106430687153,0.45175672658204763,1,0,0.1679687583886097,0.15978480611108759
50,6,0.45371728593169963,0.464474116818145,0.4451936430386275,1,0,0.17338926084098708,0.16586343701265985
50,7,0.24034893559539344,0.2458876134812417,0.23071790977083367,1,0,0.16137460183605784,0.1535837313331208
30,0,0.28107243250956093,0.28559757866031543,0.2533189915075376,1,0,0.14414675279851089,0.13162072055923202
30,1,0.40375759486264456,0.4083761676897595,0.38241086059457885,1,0,0.16647977131364358,0.15401910684686393
30,2,0.3306211800952655,0.3350210793796956,0.3072566566992839,1,0,0.17396604032267476,0.1614750895418741
30,3,0.3922436102514381,0.3960873934657989,0.36709941702578985,1,0,0.1656910739999341,0.1529252828700654
30,4,0.42626303092443263,0.437795589476521,0.4092110130893096,1,0,0.17107301170412706,0.15838263799892074
30,5,0.4647796230645158,0.4790278011271673,0.45175672658204763,1,0,0.1729369034414902,0.15978480611108759
30,6,0.4648565797550349,0.4761497471394806,0.4451936430386275,1,0,0.17797700886953688,0.16586343701265985
30,7,0.24931292042522002,0.25515671428959585,0.23071790977083367,1,0,0.16612271975807652,0.1535837313331208
20,0,0.2947849091459565,0.29977951806389636,0.2533189915075376,1,0,0.1496624588854914,0.13162072055923202
20,1,0.41467164443363025,0.419665016216744,0.38241086059457885,1,0,0.17193778718683725,0.15401910684686393
20,2,0.3424314085432249,0.3471779443139267,0.3072566566992839,1,0,0.179431851042668,0.1614750895418741
20,3,0.40444962888122693,0.40866953227179825,0.36709941702578985,1,0,0.1712740348028913,0.1529252828700654
20,4,0.4378620525058877,0.4501696330161658,0.4092110130893096,1,0,0.17661510939740913,0.15838263799892074
20,5,0.47586714654329065,0.4908165719226782,0.45175672658204763,1,0,0.17866577960473476,0.15978480611108759
20,6,0.477651420465685,0.4895850213409525,0.4451936430386275,1,0,0.18328391099276575,0.16586343701265985
20,7,0.25968971460113977,0.26589390710400046,0.23071790977083367,1,0,0.1716140866686752,0.1535837313331208
10,0,0.32974264937858766,0.3360375178214816,0.2533189915075376,1,0,0.16380487905660993,0.13162072055923202
10,1,0.44224495645147827,0.4482548375505412,0.38241086059457885,1,0,0.1858639441976394,0.15401910684686393
10,2,0.3724513309140047,0.3781571087765529,0.3072566566992839,1,0,0.19336489251064584,0.1614750895418741
10,3,0.435235552257535,0.44047885590378016,0.36709941702578985,1,0,0.185498295290147,0.1529252828700654
10,4,0.46701145988780124,0.4813843885574377,0.4092110130893096,1,0,0.1907164995316719,0.15838263799892074
10,5,0.5037044481368466,0.5205127072702874,0.45175672658204763,1,0,0.19320697665361652,0.15978480611108759
10,6,0.5098800015754418,0.5235446254265237,0.4451936430386275,1,0,0.19682668628756295,0.16586343701265985
10,7,0.28617904451336623,0.29333743986170346,0.23071790977083367,1,0,0.18562306582001079,0.1535837313331208
5,0,0.3798462281858925,0.3882649112713969,0.2533189915075376,1,0,0.18429646764267066,0.13162072055923202
5,1,0.48127134854155884,0.48889739727473513,0.38241086059457885,1,0,0.20589954392650556,0.15401910684686393
5,2,0.41528699497075094,0.422560479001153,0.3072566566992839,1,0,0.21338312376958707,0.1614750895418741
5,3,0.4786927021268882,0.48556401786168546,0.36709941702578985,1,0,0.20591937603900748,0.1529252828700654
5,4,0.5079475234673613,0.5255094635043537,0.4092110130893096,1,0,0.21092178060207767,0.15838263799892074
5,5,0.542738716970177,0.5623987238374093,0.45175672658204763,1,0,0.21396791489421174,0.15978480611108759
5,6,0.5552555863270489,0.5716522668441406,0.4451936430386275,1,0,0.2163152979827372,0.16586343701265985
5,7,0.3242218098759712,0.33283421728072976,0.23071790977083367,1,0,0.20577305445032196,0.1535837313331208
2,0,0.45473942920012966,0.4669129855235682,0.2533189915075376,1,0,0.21547229099771167,0.13162072055923202
2,1,0.5388877369257455,0.5493047201047598,0.38241086059457885,1,0,0.23614982100146736,0.15401910684686393
2,2,0.47898726157982435,0.4890423477569527,0.3072566566992839,1,0,0.2435625384549244,0.1614750895418741
2,3,0.5426374581490143,0.5522990729586842,0.36709941702578985,1,0,0.2366806260451931,0.1529252828700654
2,4,0.5678526898253479,0.5907074505281564,0.4092110130893096,1,0,0.2412933356035941,0.15838263799892074
2,5,0.5997688136123295,0.6241395374152409,0.45175672658204763,1,0,0.24505223269060017,0.15978480611108759
2,6,0.6217293765290396,0.6427808670378072,0.4451936430386275,1,0,0.2457472213644331,0.16586343701265985
2,7,0.3812308464835525,0.3922030145426655,0.23071790977083367,1,0,0.23618823570248143,0.1535837313331208
