t,agent,mean_failure_rate,mean_risk_score,n_visits,risk_share
6,agent_1,0.79,0.39285539627075194,300,0.0393310107296006
4,agent_1,0.7,0.3923936748504639,300,0.03928478514556174
3,agent_2,0.5866666666666667,0.3192802588144938,300,0.03196498101944852
5,agent_1,0.7533333333333333,0.31452631632486977,300,0.03148903652475092
7,agent_1,0.8566666666666667,0.298027704556783,300,0.029837265713826604
3,agent_1,0.5933333333333334,0.2959633795420329,300,0.029630594276765412
1,agent_0,0.5466666666666666,0.291159766515096,300,0.029149676979213276
6,agent_0,0.7833333333333333,0.23736217816670735,300,0.023763691335022596
2,agent_1,0.5633333333333334,0.23461893399556477,300,0.023489049400729902
4,agent_2,0.61,0.2314903990427653,300,0.023175833792736363
7,agent_0,0.85,0.22987416585286458,300,0.02301402340261075
9,agent_1,0.8933333333333333,0.22862664540608724,300,0.022889126963505254
8,agent_1,0.8266666666666667,0.22494497934977215,300,0.02252053422292358
1,agent_1,0.5033333333333333,0.22296576182047526,300,0.022322383385185465
5,agent_0,0.7666666666666667,0.2163879617055257,300,0.021663842025300598
0,agent_1,0.43666666666666665,0.2075122610727946,300,0.020775244642822287
10,agent_1,0.8566666666666667,0.2058470328648885,300,0.02060852907996096
6,agent_2,0.7166666666666667,0.1961516030629476,300,0.019637863900894875
8,agent_0,0.8966666666666666,0.18998592058817546,300,0.019020582005641377
4,agent_0,0.7433333333333333,0.18033255259195963,300,0.018054127875597358
2,agent_2,0.5266666666666666,0.17805023829142252,300,0.01782563227875724
9,agent_0,0.8933333333333333,0.1772559865315755,300,0.01774611517199204
12,agent_1,0.8466666666666667,0.17422892252604166,300,0.01744305840349398
13,agent_1,0.8366666666666667,0.17192011992136638,300,0.017211910910347596
1,agent_2,0.4266666666666667,0.17172913551330565,300,0.017192790364024626
11,agent_1,0.8766666666666667,0.16414366245269776,300,0.016433365076328567
11,agent_2,0.77,0.1583811680475871,300,0.015856448655100462
0,agent_0,0.5633333333333334,0.15601451873779296,300,0.015619509795967258
7,agent_2,0.77,0.1535355281829834,300,0.01537132380937947
11,agent_0,0.9066666666666666,0.15237183252970377,300,0.015254819551936135
2,agent_0,0.6066666666666667,0.1511634381612142,300,0.015133840249312792
10,agent_2,0.79,0.14221667766571044,300,0.01423812865572351
3,agent_0,0.66,0.14099019050598144,300,0.014115337979823584
9,agent_2,0.7966666666666666,0.13811256249745688,300,0.013827242107516725
5,agent_2,0.7166666666666667,0.13580685297648112,300,0.013596404280749697
14,agent_1,0.8733333333333333,0.12667881488800048,300,0.012682543945862492
0,agent_2,0.33,0.1194540023803711,300,0.011959226458170191
14,agent_0,0.9,0.11945173501968384,300,0.011958999459665486
14,agent_2,0.8166666666666667,0.11515924612681071,300,0.011529253735653769
13,agent_0,0.9033333333333333,0.11455998579661052,300,0.011469258341163416
8,agent_2,0.73,0.11433509190877279,300,0.011446742922005291
12,agent_0,0.9166666666666666,0.11322588761647542,300,0.011335694107770345
13,agent_2,0.79,0.10623360315958659,300,0.010635656339143698
15,agent_2,0.81,0.10340173721313477,300,0.010352141969780359
10,agent_0,0.9166666666666666,0.09721677780151367,300,0.009732930149630226
15,agent_1,0.85,0.09171706199645996,300,0.009182322003753459
16,agent_0,0.9066666666666666,0.08905748128890992,300,0.008916056099459255
16,agent_1,0.8633333333333333,0.08557320515314738,300,0.00856722519785667
15,agent_0,0.92,0.08435517946879069,300,0.00844528164886862
12,agent_2,0.7933333333333333,0.08275158882141113,300,0.00828473697630797
17,agent_1,0.8733333333333333,0.08116119861602783,300,0.008125513875833941
17,agent_2,0.8233333333333334,0.07323655605316162,300,0.007332132380690799
16,agent_2,0.8,0.06734373013178507,300,0.006742167722596614
19,agent_2,0.82,0.06349826653798421,300,0.006357176269497589
20,agent_0,0.9233333333333333,0.06326661348342895,300,0.006333984151327018
18,agent_2,0.8233333333333334,0.06074001471201579,300,0.006081031832659211
18,agent_1,0.8633333333333333,0.057923420270284014,300,0.005799046381370316
19,agent_1,0.89,0.05380335330963135,300,0.00538656280758119
19,agent_0,0.8966666666666666,0.05263152043024699,300,0.0052692438856830155
20,agent_1,0.8833333333333333,0.0525512170791626,300,0.005261204255852026
17,agent_0,0.8933333333333333,0.050752341747283936,300,0.0050811085115884756
18,agent_0,0.8933333333333333,0.044938174486160276,300,0.00449901882387716
21,agent_0,0.91,0.04293848236401876,300,0.004298818157019981
21,agent_2,0.83,0.03769176204999288,300,0.0037735388432443215
21,agent_1,0.9,0.03324923555056254,300,0.003328771992453227
20,agent_2,0.8033333333333333,0.03277206301689148,300,0.0032809995086847906
22,agent_0,0.9166666666666666,0.023913753827412922,300,0.002394143283506754
22,agent_1,0.8766666666666667,0.01700165351231893,300,0.0017021332099842448
22,agent_2,0.78,0.015503486196200053,300,0.0015521430727878137
23,agent_1,0.8733333333333333,0.010688409407933553,300,0.0010700780722280644
23,agent_0,0.9166666666666666,0.007607168157895406,300,0.0007615973085268665
23,agent_2,0.8133333333333334,0.005827321012814839,300,0.0005834065853632541
24,agent_0,0.9166666666666666,0.0,300,0.0
24,agent_1,0.8766666666666667,0.0,300,0.0
24,agent_2,0.8233333333333334,0.0,300,0.0
