episode,t,agent,F,score
99,6,agent_1,1,17.383975982666016
180,3,agent_2,1,16.31397247314453
222,4,agent_2,1,14.212545394897461
74,1,agent_0,1,13.626731872558594
135,5,agent_1,1,10.99976921081543
177,5,agent_1,1,9.980649948120117
204,1,agent_0,1,9.189567565917969
176,0,agent_1,1,8.927143096923828
91,9,agent_0,1,8.824199676513672
74,4,agent_2,1,8.702913284301758
135,6,agent_1,1,8.675958633422852
99,8,agent_0,1,8.427152633666992
102,6,agent_1,1,8.223856925964355
93,6,agent_2,1,7.976095199584961
253,0,agent_1,1,7.508518218994141
253,1,agent_1,1,7.4924774169921875
122,5,agent_0,1,7.445634841918945
20,1,agent_2,1,7.346624374389648
298,4,agent_1,1,7.264398574829102
153,3,agent_1,1,7.260958671569824
263,4,agent_1,1,7.220485687255859
25,1,agent_2,1,7.111241340637207
289,4,agent_1,1,7.090692520141602
6,2,agent_1,1,6.990808486938477
94,4,agent_1,1,6.748932838439941
86,7,agent_0,1,6.707289695739746
8,2,agent_1,1,6.670046806335449
234,1,agent_1,1,6.659862518310547
6,2,agent_0,1,6.646093368530273
224,5,agent_0,1,6.438873291015625
103,4,agent_0,1,6.405576705932617
86,11,agent_2,1,6.363462448120117
232,3,agent_2,1,6.333412170410156
10,2,agent_1,1,6.25615119934082
225,0,agent_1,1,6.251119613647461
178,5,agent_1,1,6.2178497314453125
40,7,agent_1,1,6.150106430053711
118,3,agent_2,1,6.068624496459961
42,3,agent_2,1,6.045360565185547
20,0,agent_2,1,5.935558319091797
75,2,agent_2,1,5.912467956542969
283,1,agent_0,1,5.86060905456543
153,4,agent_1,1,5.835624694824219
47,2,agent_1,1,5.82731819152832
173,3,agent_1,1,5.761480331420898
59,6,agent_1,1,5.750144004821777
272,5,agent_0,1,5.73686408996582
183,2,agent_0,1,5.631567001342773
5,0,agent_0,1,5.609079360961914
298,6,agent_0,1,5.57728385925293
98,6,agent_0,1,5.553296089172363
64,4,agent_0,1,5.552211761474609
124,7,agent_1,1,5.512443542480469
178,0,agent_2,1,5.436997413635254
86,1,agent_0,1,5.331111907958984
99,9,agent_0,1,5.3123779296875
125,0,agent_1,1,5.248804092407227
252,2,agent_2,1,5.2425689697265625
276,2,agent_2,1,5.204334259033203
261,3,agent_1,1,5.17384147644043
222,6,agent_2,1,5.140167236328125
154,8,agent_1,1,5.090080261230469
177,3,agent_2,1,5.075944900512695
169,7,agent_0,1,5.072135925292969
47,3,agent_2,1,4.986396789550781
188,1,agent_0,1,4.929892539978027
125,1,agent_1,1,4.897714614868164
211,0,agent_0,1,4.860132217407227
206,11,agent_0,1,4.791618347167969
272,3,agent_2,1,4.725061416625977
93,8,agent_0,1,4.644525527954102
115,7,agent_1,1,4.612372398376465
284,1,agent_0,1,4.5939483642578125
175,5,agent_2,1,4.561893463134766
263,8,agent_1,1,4.558966636657715
252,1,agent_2,1,4.557216644287109
19,1,agent_1,1,4.491842269897461
27,1,agent_1,1,4.441616058349609
42,4,agent_1,1,4.392129898071289
180,1,agent_0,1,4.363836288452148
138,7,agent_1,1,4.31037712097168
245,9,agent_0,1,4.305149078369141
137,1,agent_1,1,4.290304183959961
180,6,agent_2,1,4.253296852111816
74,6,agent_1,1,4.193014144897461
98,4,agent_1,1,4.18312931060791
150,1,agent_0,1,4.159328460693359
178,7,agent_0,1,4.126824378967285
108,6,agent_1,1,4.124598503112793
220,9,agent_1,1,4.1121625900268555
120,5,agent_0,1,4.099238395690918
27,7,agent_0,1,4.076831817626953
28,9,agent_2,1,4.066629409790039
128,7,agent_0,1,4.019561767578125
213,12,agent_0,1,3.988431453704834
118,4,agent_1,1,3.977540969848633
232,5,agent_1,1,3.953554153442383
202,4,agent_1,1,3.9300403594970703
178,4,agent_2,1,3.9119606018066406
242,12,agent_1,1,3.902538776397705
264,10,agent_0,1,3.8921165466308594
53,4,agent_2,1,3.856570243835449
16,1,agent_0,1,3.8525218963623047
12,7,agent_0,1,3.851907730102539
86,6,agent_0,1,3.8321781158447266
19,8,agent_1,1,3.6674041748046875
180,4,agent_2,1,3.649235725402832
91,4,agent_1,1,3.6487388610839844
181,3,agent_1,1,3.6414079666137695
179,9,agent_0,1,3.6237382888793945
